"URL","HTMLMatches","URLMatches","HC","T"
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:36
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:13,2011-07-29 19:02:26
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:04:15
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:08:41
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:02:24
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:11:02
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:09:41
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:07:34
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:01:59
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:11
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:36
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:00:10
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:21
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:17:25
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:14:12
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:09:49
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:07:44
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:12:39
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:07:04
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:17:38
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:03
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:03:49
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:04:50
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:15:30
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:08:49
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:05:23
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:13,2011-07-29 19:16:40
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:03:57
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:21
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:13,2011-07-29 19:02:26
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:01:59
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:41
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:02:24
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:13,2011-07-29 19:07:32
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:36
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:04:23
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:13
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:09:54
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:04:58
